frame,channel_id,x,y,area,length,mean_intensity,is_dividing
24,2,328,689,230.5,27,116.90874524714829,True
25,8,782,689,196.0,23,113.00892857142857,True
25,3,402,692,230.5,34,79.364312267658,True
25,14,1239,689,270.5,31,127.3921568627451,True
25,13,1164,690,156.0,25,74.16666666666667,True
25,22,1847,686,241.0,31,94.21660649819495,True
25,4,479,691,192.5,25,89.31390134529148,True
26,8,782,688,208.0,25,123.94092827004218,True
26,13,1163,690,151.0,26,81.68508287292818,True
26,12,1089,690,210.0,32,89.9919028340081,True
27,15,1314,686,198.0,24,104.41409691629957,True
27,19,1618,687,356.0,43,115.85643564356435,True
28,15,1313,686,208.5,24,119.71848739495798,True
28,22,1847,685,241.0,32,116.9928057553957,True
28,18,1543,682,224.5,26,168.88671875,True
29,20,1695,688,234.0,32,99.03690036900369,True
30,15,1313,685,204.0,25,106.24255319148936,True
30,13,1162,689,195.5,30,84.19130434782609,True
31,22,1846,683,290.0,37,105.94561933534743,True
31,13,1162,687,185.5,30,84.67272727272727,True
31,18,1542,681,234.0,26,137.67169811320755,True
31,15,1313,685,218.5,27,102.89641434262948,True
32,8,781,686,229.5,27,138.08045977011494,True
32,18,1542,681,219.5,25,140.65461847389557,True
32,4,479,687,227.5,28,124.72307692307693,True
32,15,1313,685,222.5,28,113.296875,True
33,8,781,686,225.0,27,131.6171875,True
33,13,1163,686,116.5,18,96.41007194244605,True
33,15,1315,683,220.0,29,110.76679841897233,True
33,18,1543,680,213.5,26,137.44262295081967,True
33,4,479,688,195.0,25,107.10222222222222,True
34,8,781,684,229.0,28,138.93511450381678,True
34,13,1163,686,107.0,17,95.3671875,True
34,4,478,687,210.5,26,122.86721991701245,True
34,17,1466,684,277.0,38,112.853125,True
34,18,1542,679,206.0,26,141.1906779661017,True
35,8,780,684,238.5,28,132.48339483394832,True
35,4,478,686,209.0,28,110.79253112033194,True
35,15,1313,682,248.5,30,121.44876325088339,True
35,14,1237,685,338.0,40,141.86161879895562,True
36,8,780,683,230.0,28,130.87832699619773,True
36,4,478,686,222.0,28,115.93700787401575,True
36,15,1313,681,252.0,30,128.3275261324042,True
36,18,1541,679,204.5,25,138.41025641025644,True
37,8,782,682,243.0,28,143.3140794223827,True
37,15,1314,679,256.5,30,130.986301369863,True
37,5,555,683,185.5,24,121.13551401869158,True
37,2,328,682,265.0,31,152.14238410596028,True
38,8,781,682,253.0,30,143.3125,True
38,4,478,686,218.5,29,119.48015873015872,True
38,5,553,684,195.5,24,128.625,True
38,2,326,683,283.5,33,143.8816199376947,True
38,22,1844,683,339.5,44,113.66752577319588,True
39,8,781,682,242.5,29,126.86594202898551,True
39,18,1542,679,190.0,24,119.3835616438356,True
39,22,1844,683,331.0,45,100.14473684210526,True
39,5,554,684,181.0,24,104.43809523809524,True
40,8,781,682,250.5,29,135.46830985915494,True
40,18,1542,679,159.0,22,120.247311827957,True
40,1,248,685,307.5,36,134.34670487106015,True
40,15,1313,680,259.5,30,136.23809523809524,True
